"x";"y";"point";"species";"id_month";"id_nday";"id_point_mon";"date";"hours";"POSIXct";"elevation";"behavior"
"781867.5986";"7407946.575";"AG106";"Celtis iguanaea";"may";"may009";"may837";"20/05/2019";"11:30:18";"20/05/19 11:30:18";"674.414429";"feed_fruits"
"781859.2589";"7407954.384";"AG166";"Celtis iguanaea";"may";"may009";"may840";"20/05/2019";"11:45:18";"20/05/19 11:45:18";"673.573792";"feed_fruits"
"781937.2661";"7407963.193";"AG167";"Celtis iguanaea";"may";"may009";"may863";"20/05/2019";"13:40:18";"20/05/19 13:40:18";"668.332031";"feed_fruits"
"782007.1508";"7407927.054";"AG168";"Syagrus romanzoffiana";"may";"may009";"may878";"20/05/2019";"14:55:18";"20/05/19 14:55:18";"681.332153";"feed_fruits"
"781987.2289";"7407661.322";"AG169";"Syagrus romanzoffiana";"june";"jun001";"jun010";"10/06/2019";"08:05:00";"10/06/19 08:05:00";"679.18512";"feed_fruits"
"782033.3621";"7407565.122";"FG08";"Cariniana estrelensis";"june";"jun001";"jun018";"10/06/2019";"08:45:00";"10/06/19 08:45:00";"664.589905";"feed_fruits"
"782054.2369";"7407515.401";"";"";"june";"jun001";"jun025";"10/06/2019";"09:20:00";"10/06/19 09:20:00";"658.88";"feed_fruits"
"782041.5087";"7407440.832";"AG170";"Syagrus romanzoffiana";"june";"jun001";"jun029";"10/06/2019";"09:40:00";"10/06/19 09:40:00";"669.835327";"feed_fruits"
"782027.7428";"7407442.759";"AG171";"Pereskia aculeata";"june";"jun001";"jun036";"10/06/2019";"10:15:00";"10/06/19 10:15:00";"663.92334";"feed_fruits"
"782008.0341";"7407417.756";"AG172";"Syagrus romanzoffiana";"june";"jun001";"jun044";"10/06/2019";"10:55:00";"10/06/19 10:55:00";"656.825012";"feed_fruits"
"782055.6703";"7407357.545";"AG114";"Syagrus romanzoffiana";"june";"jun001";"jun048";"10/06/2019";"11:15:00";"10/06/19 11:15:00";"667.73468";"feed_fruits"
"782120.0155";"7407395.767";"AG173";"Syagrus romanzoffiana";"june";"jun001";"jun058";"10/06/2019";"12:05:00";"10/06/19 12:05:00";"675.730469";"feed_fruits"
"782172.2436";"7407431.117";"AG174";"Syagrus romanzoffiana";"june";"jun001";"jun069";"10/06/2019";"13:00:00";"10/06/19 13:00:00";"641.609009";"feed_fruits"
"782049.9265";"7407452.859";"AG175";"Syagrus romanzoffiana";"june";"jun001";"jun085";"10/06/2019";"14:20:00";"10/06/19 14:20:00";"670.107666";"feed_fruits"
"781978.3709";"7407572.604";"AG176";"Syagrus romanzoffiana";"june";"jun001";"jun093";"10/06/2019";"15:00:00";"10/06/19 15:00:00";"668.341675";"feed_fruits"
"781924.1762";"7407616.311";"AG177";"Syagrus romanzoffiana";"june";"jun001";"jun096";"10/06/2019";"15:15:00";"10/06/19 15:15:00";"677.055542";"feed_fruits"
"781970.579";"7407892.285";"AG152";"Celtis iguanaea";"june";"jun001";"jun105";"10/06/2019";"16:00:00";"10/06/19 16:00:00";"673.018921";"feed_fruits"
"781911.8849";"7407908.821";"AG23";"Celtis iguanaea";"june";"jun002";"jun119";"11/06/2019";"08:10:00";"11/06/19 08:10:00";"667.862183";"feed_fruits"
"781849.6684";"7407955.896";"AG178";"Celtis iguanaea";"june";"jun002";"jun127";"11/06/2019";"08:50:00";"11/06/19 08:50:00";"669.201843";"feed_fruits"
"781870.9602";"7407951.168";"AG179";"Celtis iguanaea";"june";"jun002";"jun134";"11/06/2019";"09:25:00";"11/06/19 09:25:00";"673.705566";"feed_fruits"
"781844.5548";"7408137.54";"AG180";"Cissus sulcicaulis";"june";"jun002";"jun168";"11/06/2019";"12:15:00";"11/06/19 12:15:00";"704.548462";"feed_fruits"
"781607.1332";"7408029.812";"AG181";"Pereskia aculeata";"june";"jun002";"jun190";"11/06/2019";"14:05:00";"11/06/19 14:05:00";"692.337769";"feed_fruits"
"781654.2586";"7408124.226";"DG12";"";"june";"jun002";"jun208";"11/06/2019";"15:35:00";"11/06/19 15:35:00";"705.903259";"sleeping"
"781648.5785";"7407939.794";"AG182";"Pereskia aculeata";"june";"jun003";"jun225";"12/06/2019";"08:40:00";"12/06/19 08:40:00";"672.240967";"feed_fruits"
"781635.3466";"7407681.027";"AG183";"Syagrus romanzoffiana";"june";"jun003";"jun248";"12/06/2019";"10:35:00";"12/06/19 10:35:00";"646.580444";"feed_fruits"
"781727.5932";"7407755.291";"AG184";"Syagrus romanzoffiana";"june";"jun003";"jun258";"12/06/2019";"11:25:00";"12/06/19 11:25:00";"644.627319";"feed_fruits"
"781750.8184";"7407787.994";"AG185";"Syagrus romanzoffiana";"june";"jun003";"jun260";"12/06/2019";"11:35:00";"12/06/19 11:35:00";"649.63324";"feed_fruits"
"781863.4728";"7407902.214";"AG186";"Celtis iguanaea";"june";"jun003";"jun267";"12/06/2019";"12:10:00";"12/06/19 12:10:00";"656.685486";"feed_fruits"
"781866.89";"7407936.057";"AG187";"Celtis iguanaea";"june";"jun003";"jun275";"12/06/2019";"12:50:00";"12/06/19 12:50:00";"670.734741";"feed_fruits"
"781725.0813";"7407917.933";"AG106";"Celtis iguanaea";"june";"jun003";"jun276";"12/06/2019";"12:55:00";"12/06/19 12:55:00";"672.416504";"feed_fruits"
"781814.6391";"7407929.114";"";"";"june";"jun003";"jun305";"12/06/2019";"15:20:00";"12/06/19 15:20:00";"674.08";"feed_fruits"
"782008.8098";"7407853.426";"AG194";"";"june";"jun005";"jun433";"14/06/2019";"07:30:19";"14/06/19 07:30:19";"673.773804";"feed_fruits"
"782001.3581";"7407571.383";"AG117";"Syagrus romanzoffiana";"june";"jun005";"jun444";"14/06/2019";"08:25:19";"14/06/19 08:25:19";"658.892029";"feed_fruits"
"781908.2546";"7407516.423";"AG112";"Syagrus romanzoffiana";"june";"jun005";"jun473";"14/06/2019";"10:50:19";"14/06/19 10:50:19";"659.268555";"feed_fruits"
"781870.1669";"7407562.701";"AG195";"Syagrus romanzoffiana";"june";"jun005";"jun479";"14/06/2019";"11:20:19";"14/06/19 11:20:19";"650.063599";"feed_fruits"
"781843.7976";"7407552.95";"";"";"june";"jun005";"jun487";"14/06/2019";"12:00:19";"14/06/19 12:00:19";"652.81";"resting"
"781868.3546";"7407556.707";"";"";"june";"jun005";"jun488";"14/06/2019";"12:05:19";"14/06/19 12:05:19";"654.32";"feed_fruits"
"781869.9402";"7407558.024";"";"";"june";"jun005";"jun489";"14/06/2019";"12:10:19";"14/06/19 12:10:19";"655.12";"feed_fruits"
"782070.4725";"7407735.432";"AG196";"Pereskia aculeata";"june";"jun005";"jun524";"14/06/2019";"15:05:19";"14/06/19 15:05:19";"695.422913";"feed_fruits"
"781986.3886";"7407884.225";"AG96";"Celtis iguanaea";"june";"jun005";"jun538";"14/06/2019";"16:15:19";"14/06/19 16:15:19";"672.28656";"feed_fruits"
"781787.6963";"7407742.51";"AG198";"Syagrus romanzoffiana";"june";"jun006";"jun556";"15/06/2019";"07:35:26";"15/06/19 07:35:26";"646.15";"feed_fruits"
"781802.4142";"7407651.009";"AG200";"Syagrus romanzoffiana";"june";"jun006";"jun572";"15/06/2019";"08:55:26";"15/06/19 08:55:26";"661.571045";"feed_fruits"
"782019.0643";"7407438.159";"AG201";"Pereskia aculeata";"june";"jun006";"jun618";"15/06/2019";"12:45:26";"15/06/19 12:45:26";"658.850586";"feed_fruits"
"782014.8106";"7407431.821";"";"";"june";"jun006";"jun626";"15/06/2019";"13:25:26";"15/06/19 13:25:26";"665.5";"resting"
"782013.344";"7407436.262";"";"";"june";"jun006";"jun627";"15/06/2019";"13:30:26";"15/06/19 13:30:26";"664.11";"resting"
"782016.9623";"7407436.732";"";"";"june";"jun006";"jun628";"15/06/2019";"13:35:26";"15/06/19 13:35:26";"664.38";"resting"
"782013.5386";"7407435.682";"";"";"june";"jun006";"jun629";"15/06/2019";"13:40:26";"15/06/19 13:40:26";"664.92";"resting"
"782018.5848";"7407423.871";"AG202";"Syagrus romanzoffiana";"june";"jun006";"jun630";"15/06/2019";"13:45:26";"15/06/19 13:45:26";"665.431641";"feed_fruits"
"781889.6917";"7407551.245";"DG14";"";"june";"jun006";"jun664";"15/06/2019";"16:35:26";"15/06/19 16:35:26";"650.863037";"sleeping"
"781891.2737";"7407895.801";"AG203";"Celtis iguanaea";"june";"jun007";"jun671";"17/06/2019";"07:35:16";"17/06/19 07:35:16";"664.168213";"feed_fruits"
"781715.6035";"7407885.005";"";"";"june";"jun007";"jun689";"17/06/2019";"09:05:16";"17/06/19 09:05:16";"662.27";"feed_fruits"
"781731.3112";"7407937.491";"";"";"june";"jun007";"jun694";"17/06/2019";"09:30:16";"17/06/19 09:30:16";"675.72";"feed_fruits"
"781733.1345";"7407935.551";"";"";"june";"jun007";"jun695";"17/06/2019";"09:35:16";"17/06/19 09:35:16";"674.84";"feed_fruits"
"781697.8544";"7408008.122";"AG205";"Pereskia aculeata";"june";"jun007";"jun700";"17/06/2019";"10:00:16";"17/06/19 10:00:16";"687.659912";"feed_fruits"
"781701.9955";"7408021.123";"AG206";"Pereskia aculeata";"june";"jun007";"jun701";"17/06/2019";"10:05:16";"17/06/19 10:05:16";"688.859985";"feed_fruits"
"781649.3445";"7408017.476";"AG207";"Pereskia aculeata";"june";"jun007";"jun721";"17/06/2019";"11:45:16";"17/06/19 11:45:16";"694.701965";"feed_fruits"
"781649.9048";"7408017.186";"";"";"june";"jun007";"jun745";"17/06/2019";"13:45:16";"17/06/19 13:45:16";"696.39";"feed_fruits"
"781638.4557";"7407977.561";"AG208";"Pereskia aculeata";"june";"jun007";"jun748";"17/06/2019";"14:00:16";"17/06/19 14:00:16";"688.748535";"feed_fruits"
"781648.1366";"7407820.327";"DG15";"";"june";"jun007";"jun770";"17/06/2019";"15:50:16";"17/06/19 15:50:16";"667.938293";"sleeping"
"782039.352";"7407616.437";"AG34";"Rhipsalis cereuscula";"july";"jul001";"jul011";"11/07/2019";"09:20:00";"11/07/19 09:20:00";"680.335815";"feed_fruits"
"781932.8257";"7407581.791";"AG209";"Syagrus romanzoffiana";"july";"jul001";"jul016";"11/07/2019";"09:45:00";"11/07/19 09:45:00";"654.895508";"feed_fruits"
"781929.8885";"7407615.096";"AG210";"Syagrus romanzoffiana";"july";"jul001";"jul020";"11/07/2019";"10:05:00";"11/07/19 10:05:00";"667.280457";"feed_fruits"
"781929.9665";"7407667.519";"AG128";"Pereskia aculeata";"july";"jul001";"jul024";"11/07/2019";"10:25:00";"11/07/19 10:25:00";"677.847839";"feed_fruits"
"781912.6879";"7407662.415";"AG211";"Pereskia aculeata";"july";"jul001";"jul027";"11/07/2019";"10:40:00";"11/07/19 10:40:00";"676.867554";"feed_fruits"
"781876.804";"7407700.68";"AG212";"Pereskia aculeata";"july";"jul001";"jul031";"11/07/2019";"11:00:00";"11/07/19 11:00:00";"674.792114";"feed_fruits"
"781756.8263";"7407765.044";"AG213";"Pereskia aculeata";"july";"jul001";"jul041";"11/07/2019";"11:50:00";"11/07/19 11:50:00";"655.916138";"feed_fruits"
"781719.0802";"7407748.589";"AG214";"Pereskia aculeata";"july";"jul001";"jul048";"11/07/2019";"12:25:00";"11/07/19 12:25:00";"660.090271";"feed_fruits"
"781703.0589";"7407777.379";"AG215";"Pereskia aculeata";"july";"jul001";"jul053";"11/07/2019";"12:50:00";"11/07/19 12:50:00";"663.260132";"feed_fruits"
"781688.7474";"7407815.333";"AG216";"Pereskia aculeata";"july";"jul001";"jul058";"11/07/2019";"13:15:00";"11/07/19 13:15:00";"660.605347";"feed_fruits"
"781648.7417";"7407959.072";"AG217";"Pereskia aculeata";"july";"jul001";"jul074";"11/07/2019";"14:35:00";"11/07/19 14:35:00";"676.064453";"feed_fruits"
"781740.5757";"7407984.804";"AG218";"Pereskia aculeata";"july";"jul001";"jul086";"11/07/2019";"15:35:00";"11/07/19 15:35:00";"679.236572";"feed_fruits"
"781730.3079";"7407966.606";"AG219";"Pereskia aculeata";"july";"jul001";"jul089";"11/07/2019";"15:50:00";"11/07/19 15:50:00";"674.716431";"feed_fruits"
"781710.2997";"7408033.041";"AG220";"Pereskia aculeata";"july";"jul002";"jul097";"12/07/2019";"07:50:00";"12/07/19 07:50:00";"695.842163";"feed_fruits"
"781705.9559";"7408089.208";"AG221";"Pereskia aculeata";"july";"jul002";"jul105";"12/07/2019";"08:30:00";"12/07/19 08:30:00";"702.495728";"feed_fruits"
"781682.2046";"7408107.444";"";"";"july";"jul002";"jul110";"12/07/2019";"08:55:00";"12/07/19 08:55:00";"698.87";"resting"
"781697.2959";"7408160.424";"AG223";"Pereskia aculeata";"july";"jul002";"jul117";"12/07/2019";"09:30:00";"12/07/19 09:30:00";"690.419556";"feed_fruits"
"781683.6794";"7408192.159";"AG224";"Pereskia aculeata";"july";"jul002";"jul123";"12/07/2019";"10:00:00";"12/07/19 10:00:00";"698.598328";"feed_fruits"
"781699.3978";"7408200.833";"AG225";"Pereskia aculeata";"july";"jul002";"jul127";"12/07/2019";"10:20:00";"12/07/19 10:20:00";"697.310242";"feed_fruits"
"781771.482";"7408060.465";"AG226";"Pereskia aculeata";"july";"jul002";"jul151";"12/07/2019";"12:20:00";"12/07/19 12:20:00";"709.962769";"feed_fruits"
"781776.5541";"7408058.046";"AG227";"Pereskia aculeata";"july";"jul002";"jul153";"12/07/2019";"12:30:00";"12/07/19 12:30:00";"708.410034";"feed_fruits"
"781756.684";"7408049.257";"";"";"july";"jul002";"jul169";"12/07/2019";"13:50:00";"12/07/19 13:50:00";"708.43";"resting"
"781755.4737";"7408054.556";"";"";"july";"jul002";"jul171";"12/07/2019";"14:00:00";"12/07/19 14:00:00";"708.2";"resting"
"781851.8465";"7408048.178";"AG230";"Pereskia aculeata";"july";"jul002";"jul190";"12/07/2019";"15:35:00";"12/07/19 15:35:00";"690.637268";"feed_fruits"
"781893.1027";"7408044.62";"AG231";"Pereskia aculeata";"july";"jul002";"jul193";"12/07/2019";"15:50:00";"12/07/19 15:50:00";"688.347046";"feed_fruits"
"782034.0367";"7408027.735";"AG232";"Pereskia aculeata";"july";"jul002";"jul200";"12/07/2019";"16:25:00";"12/07/19 16:25:00";"690.033752";"feed_fruits"
"781924.0909";"7407921.668";"DG16";"";"july";"jul002";"jul213";"12/07/2019";"17:30:00";"12/07/19 17:30:00";"664.886719";"sleeping"
"781775.4778";"7407729.44";"AG233";"Syagrus romanzoffiana";"july";"jul003";"jul225";"13/07/2019";"08:45:18";"13/07/19 08:45:18";"659.027222";"feed_fruits"
"781760.9375";"7407733.927";"AG234";"Pereskia aculeata";"july";"jul003";"jul228";"13/07/2019";"09:00:18";"13/07/19 09:00:18";"650.833557";"feed_fruits"
"781797.2475";"7407862.131";"AG235";"Pereskia aculeata";"july";"jul003";"jul240";"13/07/2019";"10:00:18";"13/07/19 10:00:18";"661.926636";"feed_fruits"
"781823.1616";"7407906.748";"AG237";"Pereskia aculeata";"july";"jul003";"jul255";"13/07/2019";"11:15:18";"13/07/19 11:15:18";"667.378418";"feed_fruits"
"781831.9146";"7407904.481";"AG238";"Pereskia aculeata";"july";"jul003";"jul259";"13/07/2019";"11:35:18";"13/07/19 11:35:18";"659.321289";"feed_fruits"
"781859.4471";"7408055.13";"AG239";"Pereskia aculeata";"july";"jul003";"jul292";"13/07/2019";"14:20:18";"13/07/19 14:20:18";"686.143066";"feed_fruits"
"781939.9571";"7408087.609";"AG242";"Pereskia aculeata";"july";"jul003";"jul306";"13/07/2019";"15:30:18";"13/07/19 15:30:18";"695.211731";"feed_fruits"
"781956.5069";"7408097.158";"AG243";"Pereskia aculeata";"july";"jul003";"jul310";"13/07/2019";"15:50:18";"13/07/19 15:50:18";"694.803162";"feed_fruits"
"781947.7837";"7408100.986";"AG244";"Pereskia aculeata";"july";"jul003";"jul312";"13/07/2019";"16:00:18";"13/07/19 16:00:18";"698.044312";"feed_fruits"
"781868.1726";"7408083.224";"DG17";"";"july";"jul003";"jul317";"13/07/2019";"16:25:18";"13/07/19 16:25:18";"698.564026";"sleeping"
"782041.7475";"7407698.515";"AG259";"Pereskia aculeata";"july";"jul005";"jul430";"16/07/2019";"09:00:39";"16/07/19 09:00:39";"674.195923";"feed_fruits"
"781974.0435";"7407640.3";"AG261";"Syagrus romanzoffiana";"july";"jul005";"jul447";"16/07/2019";"10:25:39";"16/07/19 10:25:39";"677.013672";"feed_fruits"
"781973.8704";"7407625.894";"AG262";"Syagrus romanzoffiana";"july";"jul005";"jul449";"16/07/2019";"10:35:39";"16/07/19 10:35:39";"675.219849";"feed_fruits"
"781989.3388";"7407547.237";"AG263";"Pereskia aculeata";"july";"jul005";"jul458";"16/07/2019";"11:20:39";"16/07/19 11:20:39";"656.702271";"feed_fruits"
"782001.2335";"7407538.025";"AG264";"Pereskia aculeata";"july";"jul005";"jul459";"16/07/2019";"11:25:39";"16/07/19 11:25:39";"652.446411";"feed_fruits"
"782055.5603";"7407410.862";"AG265";"Pereskia aculeata";"july";"jul005";"jul474";"16/07/2019";"12:40:39";"16/07/19 12:40:39";"670.446411";"feed_fruits"
"781987.2794";"7407573.102";"DG19";"";"july";"jul005";"jul527";"16/07/2019";"17:05:39";"16/07/19 17:05:39";"665.692627";"sleeping"
"781954.6042";"7407629.366";"AG269";"Syagrus romanzoffiana";"july";"jul006";"jul531";"17/07/2019";"08:15:29";"17/07/19 08:15:29";"662.948608";"feed_fruits"
"781728";"7407762";"";"";"july";"jul006";"jul544";"17/07/2019";"09:20:29";"17/07/19 09:20:29";"642";"feed_fruits"
"781671.2578";"7407826.091";"AG270";"Pereskia aculeata";"july";"jul006";"jul547";"17/07/2019";"09:35:29";"17/07/19 09:35:29";"652.535645";"feed_fruits"
"781613.3702";"7408120.577";"AG271";"Pereskia aculeata";"july";"jul006";"jul568";"17/07/2019";"11:20:29";"17/07/19 11:20:29";"702.197021";"feed_fruits"
"781622.9141";"7408116.623";"AG272";"Syagrus romanzoffiana";"july";"jul006";"jul570";"17/07/2019";"11:30:29";"17/07/19 11:30:29";"703.126953";"feed_fruits"
"781631";"7408126";"";"";"july";"jul006";"jul574";"17/07/2019";"11:50:29";"17/07/19 11:50:29";"702";"resting"
"781629";"7408131";"";"";"july";"jul006";"jul575";"17/07/2019";"11:55:29";"17/07/19 11:55:29";"703";"resting"
"781633";"7408123";"";"";"july";"jul006";"jul576";"17/07/2019";"12:00:29";"17/07/19 12:00:29";"704";"resting"
"781634";"7408129";"";"";"july";"jul006";"jul577";"17/07/2019";"12:05:29";"17/07/19 12:05:29";"704";"resting"
"781628";"7408131";"";"";"july";"jul006";"jul578";"17/07/2019";"12:10:29";"17/07/19 12:10:29";"704";"resting"
"781635";"7408173";"";"";"july";"jul006";"jul582";"17/07/2019";"12:30:29";"17/07/19 12:30:29";"703";"resting"
"781639.7452";"7408162.407";"AG273";"Pereskia aculeata";"july";"jul006";"jul583";"17/07/2019";"12:35:29";"17/07/19 12:35:29";"708.728271";"feed_fruits"
"781724.8776";"7408211.985";"AG274";"Pereskia aculeata";"july";"jul006";"jul593";"17/07/2019";"13:25:29";"17/07/19 13:25:29";"714.333862";"feed_fruits"
"781881.6683";"7408195.236";"AG276";"Pereskia aculeata";"july";"jul006";"jul603";"17/07/2019";"14:15:29";"17/07/19 14:15:29";"700.589478";"feed_fruits"
"782069.518";"7407968.426";"AG277";"Pereskia aculeata";"july";"jul006";"jul625";"17/07/2019";"16:05:29";"17/07/19 16:05:29";"689.685303";"feed_fruits"
"782073.8524";"7407932.874";"DG20";"";"july";"jul006";"jul627";"17/07/2019";"16:15:29";"17/07/19 16:15:29";"688.705811";"sleeping"
"781969.5077";"7407985.856";"AG278";"Celtis iguanaea";"july";"jul007";"jul647";"18/07/2019";"09:25:15";"18/07/19 09:25:15";"673.467407";"feed_fruits"
"781976.5942";"7407992.372";"AG279";"Celtis iguanaea";"july";"jul007";"jul650";"18/07/2019";"09:40:15";"18/07/19 09:40:15";"674.390869";"feed_fruits"
"781976.3991";"7407998.357";"AG280";"Celtis iguanaea";"july";"jul007";"jul651";"18/07/2019";"09:45:15";"18/07/19 09:45:15";"675.115601";"feed_fruits"
"781980.1999";"7408004.715";"AG281";"Celtis iguanaea";"july";"jul007";"jul655";"18/07/2019";"10:05:15";"18/07/19 10:05:15";"683.410645";"feed_fruits"
"781959.0948";"7407997.25";"AG107";"Celtis iguanaea";"july";"jul007";"jul658";"18/07/2019";"10:20:15";"18/07/19 10:20:15";"684.081238";"feed_fruits"
"781914.0468";"7407931.28";"AG282";"Celtis iguanaea";"july";"jul007";"jul670";"18/07/2019";"11:20:15";"18/07/19 11:20:15";"670.680542";"feed_fruits"
"781867.2557";"7407917.99";"AG75";"Celtis iguanaea";"july";"jul007";"jul676";"18/07/2019";"11:50:15";"18/07/19 11:50:15";"674.159302";"feed_fruits"
"781873.4778";"7407906.23";"AG283";"Celtis iguanaea";"july";"jul007";"jul687";"18/07/2019";"12:45:15";"18/07/19 12:45:15";"668.391785";"feed_fruits"
"781846.6859";"7407890.56";"AG284";"Pereskia aculeata";"july";"jul007";"jul708";"18/07/2019";"14:30:15";"18/07/19 14:30:15";"654.981628";"feed_fruits"
"781931.7549";"7407830.302";"AG285";"Pereskia aculeata";"july";"jul007";"jul719";"18/07/2019";"15:25:15";"18/07/19 15:25:15";"678.080261";"feed_fruits"
"782001.3047";"7407723.453";"AG286";"Pereskia aculeata";"july";"jul007";"jul726";"18/07/2019";"16:00:15";"18/07/19 16:00:15";"687.183228";"feed_fruits"
"781991.2586";"7407593.752";"AG287";"Pereskia aculeata";"july";"jul007";"jul732";"18/07/2019";"16:30:15";"18/07/19 16:30:15";"668.881714";"feed_fruits"
"781955.3723";"7407530.71";"AG288";"Pereskia aculeata";"july";"jul008";"jul743";"19/07/2019";"08:35:53";"19/07/19 08:35:53";"647.832275";"feed_fruits"
"781965.5025";"7407493.383";"AG289";"Pereskia aculeata";"july";"jul008";"jul748";"19/07/2019";"09:00:53";"19/07/19 09:00:53";"645.017456";"feed_fruits"
"781920.2464";"7407517.745";"AG100";"Syagrus romanzoffiana";"july";"jul008";"jul749";"19/07/2019";"09:05:53";"19/07/19 09:05:53";"655.290344";"feed_fruits"
"782010.1251";"7407436.223";"AG290";"Pereskia aculeata";"july";"jul008";"jul755";"19/07/2019";"09:35:53";"19/07/19 09:35:53";"654.066895";"feed_fruits"
"782088.6832";"7407447.351";"AG291";"Pereskia aculeata";"july";"jul008";"jul761";"19/07/2019";"10:05:53";"19/07/19 10:05:53";"673.760803";"feed_fruits"
"782206.4182";"7407447.76";"AG292";"Pereskia aculeata";"july";"jul008";"jul771";"19/07/2019";"10:55:53";"19/07/19 10:55:53";"672.05481";"feed_fruits"
"782275.7169";"7407476.903";"AG293";"Pereskia aculeata";"july";"jul008";"jul783";"19/07/2019";"11:55:53";"19/07/19 11:55:53";"694.215698";"feed_fruits"
"782294.6787";"7407553.684";"AG294";"Syagrus romanzoffiana";"july";"jul008";"jul790";"19/07/2019";"12:30:53";"19/07/19 12:30:53";"697.665955";"feed_fruits"
"782300.206";"7407570.096";"AG295";"Pereskia aculeata";"july";"jul008";"jul794";"19/07/2019";"12:50:53";"19/07/19 12:50:53";"694.871521";"feed_fruits"
